id,symbol,address,decimal
T0001,UNI,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,18
T0002,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
T0003,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
T0004,WBTC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,8
T0005,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,18
T0006,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,18
T0007,SUSHI,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,18
T0008,YFI,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,18
T0009,KP3R,0x1cEB5cB57C4D4E2b2433641b95Dd330A33185A44,18
T0010,SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,18
T0011,BAND,0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55,18
T0012,AMPL,0xD46bA6D942050d489DBd938a2C909A5d5039A161,9
T0013,INJ,0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,18
T0014,ARCH,0x1F3f9D3068568F8040775be2e8C03C103C61f3aF,18
T0015,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,18
T0016,sUSD,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,18
T0017,HEGIC,0x584bC13c7D411c00c01A62e8019472dE68768430,18
T0018,COMP,0xc00e94Cb662C3520282E6f5717214004A7f26888,18
T0019,wNXM,0x0d438F3b5175Bebc262bF23753C1E53d03432bDE,18
T0020,MKR,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,18
T0021,CRO,0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b,8
T0022,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,6
T0023,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,18
T0024,REN,0x408e41876cCCDC0F92210600ef50372656052a38,18
T0025,yyDAI+yUSDC+yUSDT+yTUSD,0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c,18
T0026,PNK,0x93ED3FBe21207Ec2E8f2d3c3de6e058Cb73Bc04d,18
T0027,CREAM,0x2ba592F78dB6436527729929AAf6c908497cB200,18
T0028,YFL,0x28cb7e841ee97947a86B06fA4090C8451f64c0be,18
T0029,MASQ,0x06F3C323f0238c72BF35011071f2b5B7F43A054c,18
T0030,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,18
T0031,TRU,0x4C19596f5aAfF459fA38B0f7eD92F11AE6543784,8
T0032,UMA,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,18
T0033,OMG,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18
T0034,SRM,0x476c5E26a75bd202a9683ffD34359C0CC15be0fF,6
T0035,NFTX,0x87d73E916D7057945c9BcD8cdd94e42A6F47f776,18
T0036,RUNE,0x3155BA85D5F96b2d030a4966AF206230e46849cb,18
T0037,SFI,0xb753428af26E81097e7fD17f40c88aaA3E04902c,18
T0038,ALPHA,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,18
T0039,COVER,0x4688a8b1F292FDaB17E9a90c8Bc379dC1DBd8713,18
T0040,CRD,0xcAaa93712BDAc37f736C323C93D4D5fDEFCc31CC,18
T0041,ANT,0xa117000000f279D81A1D3cc75430fAA017FA5A2e,18
T0042,DPI,0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b,18
T0043,INDEX,0x0954906da0Bf32d5479e25f46056d22f08464cab,18
T0044,DUSD,0x5BC25f649fc4e26069dDF4cF4010F9f706c23831,18
T0045,PERP,0xbC396689893D065F41bc2C6EcbeE5e0085233447,18
T0046,PICKLE,0x429881672B9AE42b8EbA0E26cD9C73711b891Ca5,18
T0047,JRT,0x8A9C67fee641579dEbA04928c4BC45F66e26343A,18
T0048,CVP,0x38e4adB44ef08F22F5B5b76A8f0c2d0dCbE7DcA1,18
